t_index	term	df
451	aau	1
452	aavertis	1
453	aawc	1
454	ab	1
455	aba	13
456	abac	1
457	abandon	3
458	abap	2
459	abaqu	1
460	abat	5
461	abattoir	3
462	abbl	2
463	abbott	5
464	abbrevi	2
465	abbyy	2
466	abc	4
467	abdomin	1
468	abid	23
469	abiiti	1
470	abil	11550
471	abilit	1
472	abilitiy	1
473	abilityt	1
474	abiltiy	1
475	abkhazia	4
476	abl	613
477	ablil	1
478	abliti	2
479	abmdp	1
480	abnorm	9
481	abo	4
482	abod	1
483	abort	2
484	abov	342
485	abovement	13
486	abovian	9
487	abovyan	25
488	abp	1
489	abreast	82
490	abroad	302
491	abscenc	2
492	absenc	215
493	absent	6
494	absente	5
495	abser	3
496	absolut	23
497	absorb	18
498	absorpt	4
499	abstain	1
500	abstract	16
501	abt	29
502	abus	22
503	ac	5
504	aca	1
505	acaa	1
506	acad	2
507	academ	242
508	academi	47
509	academia	17
510	academician	1
511	acba	12
512	acc	2
513	acca	382
514	accapt	1
515	accc	1
516	acced	1
517	accel	1
518	acceler	32
519	accent	3
520	accept	926
521	acceptor	1
522	accesoir	1
523	access	944
524	accessori	46
525	accid	77
526	accident	2
527	accion	1
528	accmoplish	3
529	accoint	1
530	accommod	179
531	accomod	4
532	accompani	168
533	accomplish	379
534	accont	2
535	accontech	10
536	accord	3022
537	accordingli	107
538	accossir	1
539	account	3389
540	accountng	1
541	accouont	1
542	accout	1
543	accredit	97
544	accru	4
545	accrual	28
546	accu	1
547	accultur	2
548	accumul	23
549	accupi	1
550	accur	1427
551	accuraci	1100
552	accusoft	11
553	accustom	1
554	accvac	4
555	acd	2
556	acdi	42
557	acdse	2
558	acf	3
559	acfa	1
560	acg	3
561	ach	4
562	achajour	5
563	achicad	1
564	achiev	1531
565	achitect	1
566	aci	9
567	acit	1
568	acknowledg	39
569	acl	5
570	acma	3
571	acnielsen	1
572	acommod	1
573	aconom	1
574	acoount	1
575	acount	1
576	acoust	2
577	acp	2
578	acpn	1
579	acqaer	1
580	acquaint	81
581	acqui	8
582	acquiesc	1
583	acquint	1
584	acquir	382
585	acquisit	185
586	acra	25
587	acrm	1
588	acrobat	36
589	acroni	3
590	acronym	3
591	across	472
592	acsa	1
593	acsap	2
594	acsmc	2
595	act	1308
596	actavi	1
597	actin	1
598	action	1367
599	actionscript	25
600	actitour	1
601	activ	6464
602	activemq	17
603	activex	2
604	activili	1
605	activioti	1
606	activist	2
607	activit	4
608	actix	1
609	actor	158
610	actr	1
611	acttf	1
612	actual	317
613	actuari	18
614	actuat	1
615	acuiti	2
616	acumen	54
617	acut	12
618	ad	397
619	ada	17
620	adapt	799
621	adaptor	1
622	adb	58
623	adbrrsp	1
624	adc	22
625	add	101
626	addenda	1
627	addendum	3
628	addict	2
629	addit	748
630	address	510
631	addresse	16
632	ade	1
633	adei	1
634	adel	1
635	adept	6
636	adequ	265
637	adequaci	74
638	adf	8
639	adher	510
640	adhoc	1
641	adinfosi	7
642	adjac	19
643	adjoint	1
644	adjunct	1
645	adjust	321
646	adjustor	1
647	adm	2
648	admanag	10
649	admang	5
650	admeasur	1
651	admin	62
652	administ	444
653	administart	3
654	administr	4111
655	administrat	1
656	adminsitr	2
657	adminstr	7
658	admiss	26
659	admit	9
660	admninist	1
661	ado	184
662	adob	397
663	adolesc	12
664	adopt	200
665	adp	140
666	adr	2
667	adrasheg	1
668	adserv	24
669	adsi	1
670	adsl	7
671	adt	1
672	adult	75
673	advanc	2795
674	advantag	1292
675	adventag	1
676	adventur	1
677	advers	12
678	advert	11
679	advertis	722
680	advertori	1
681	adverts	1
682	advic	650
683	advis	752
684	advisor	329
685	advisori	269
686	advoc	113
687	advocaci	298
688	advosor	1
689	adword	7
690	ae	8
691	aeb	1
692	aec	1
693	aecom	14
694	aecp	15
695	aefm	8
696	aeplac	1
697	aer	1
698	aerial	3
699	aero	1
700	aerob	1
701	aerodynam	1
702	aerospac	2
703	aesthet	15
704	aeyea	2
705	afa	3
706	afc	1
707	afdp	1
708	afew	1
709	affabl	4
710	affair	264
711	affect	208
712	affili	67
713	affin	27
714	affirm	2
715	affluent	1
716	afford	36
717	afforest	2
718	afghanistan	1
719	afip	1
720	afnetwork	2
721	afo	1
722	afor	4
723	aforement	10
724	aforesaid	1
725	afp	1
726	afpm	1
727	afraid	3
728	africa	12
729	african	2
730	aftereffect	2
731	afternoon	1
732	aftersal	7
733	afterward	3
734	ag	1
735	agap	2
736	agarak	18
737	agb	4
738	agbu	1
739	agcent	2
740	agd	2
741	age	103
742	agenc	995
743	agenciesand	1
744	agenda	227
745	agent	281
746	ager	2
747	aggrav	2
748	aggreg	24
749	aggress	62
750	aggriev	1
751	aghekyan	1
752	aghveran	2
753	agil	349
754	agit	1
755	agium	1
756	agn	2
757	agnian	2
758	agnost	1
759	ago	7
760	agp	6
761	agpm	2
762	agpp	2
763	agrarian	3
764	agrc	5
765	agre	403
766	agreeabl	1
767	agreement	792
768	agri	2
769	agribusi	106
770	agricol	12
771	agricultur	392
772	agriculturist	1
773	agrifood	1
774	agrinew	1
775	agrivis	1
776	agro	45
777	agrobiodivers	1
778	agrocredit	5
779	agroeconomi	1
780	agrogitutyun	1
781	agrohold	2
782	agroinvest	1
783	agrolratu	1
784	agronom	8
785	agronomi	20
786	agronomist	26
787	agroprocess	2
788	agroservic	13
789	agrotech	1
790	agroweb	1
791	agvantag	2
792	ah	1
793	aha	4
794	aharon	1
795	ahb	3
796	ahdc	1
797	ahead	26
798	ahtc	1
799	ai	1
800	aia	4
801	aid	178
802	aidar	2
803	aiesec	2
804	aim	536
805	aip	1
806	air	109
807	aircraft	6
808	airdrom	2
809	airfar	1
810	airfreight	1
811	airlin	14
812	airplan	1
813	airport	121
814	airspac	1
815	airticket	4
816	aisl	2
817	aix	3
818	ajapniak	1
819	ajax	496
820	aka	2
821	akhaltsikh	1
822	akhtala	1
823	akhuryan	1
824	aktob	3
825	akvatechavtomatika	1
826	al	4
827	alarm	57
828	alaverdi	18
829	alaverdyan	2
830	alazani	1
831	albanian	1
832	albert	1
833	album	8
834	alcap	1
835	alcatel	2
836	alco	5
837	alcohol	19
838	aldo	12
839	alek	1
840	alert	73
841	alfa	20
842	alfresco	1
843	alg	1
844	algebra	11
845	algol	1
846	algorithm	513
847	alhokair	5
848	alia	13
849	alias	7
850	alien	3
851	align	208
852	alik	3
853	alikhanyan	2
854	alimentariu	1
855	alitalia	1
856	aliv	1
857	allair	1
858	alleg	2
859	allegi	4
860	allegro	6
861	allen	16
862	allevi	10
863	alli	11
864	allianc	48
865	alloc	310
866	allot	36
867	allow	115
868	alloy	2
869	alltax	1
870	alm	6
871	alma	1
872	almati	6
873	almeda	1
874	almost	6
875	alon	23
876	along	161
877	alongsid	32
878	alpen	1
879	alpha	6
880	alphabet	6
881	alpin	16
882	alpinist	7
883	alreadi	69
884	also	990
885	altacod	73
886	alter	17
887	altera	4
888	alterc	2
889	altern	181
890	although	14
891	altitud	10
892	altium	1
893	alto	2
894	altova	1
895	altysoft	2
896	alu	3
897	aluminum	1
898	alumni	24
899	alumnu	1
900	alvank	1
901	alway	113
902	ama	1
903	amaa	5
904	amadeu	25
905	amasia	15
906	amateur	3
907	amaz	36
908	amazon	10
909	amba	4
910	ambassador	21
911	ambigu	18
912	ambit	24
913	ambiti	65
914	ambul	3
915	ambulatori	21
916	amcham	7
917	amd	19
918	amen	8
919	amend	181
920	ameria	46
921	ameriabank	42
922	ameriagroup	3
923	america	18
924	american	119
925	americancouncil	1
926	amerikov	1
927	amex	1
928	ami	3
929	amic	1
930	amicu	1
931	amid	1
932	amiku	1
933	aml	32
934	ammend	1
935	ammonium	1
936	ammount	1
937	among	491
938	amongst	17
939	amort	2
940	amount	234
941	amp	16
942	ampelograph	1
943	ampi	1
944	ampl	1
945	ampli	1
946	amplif	2
947	amplifi	4
948	amplificatori	1
949	amr	2
950	amsg	7
951	amtokay	3
952	amulsar	1
953	amus	1
954	amyot	20
955	anal	8
956	analat	1
957	analisi	3
958	analist	5
959	analit	13
960	analityc	1
961	analog	76
962	analogu	2
963	analut	1
964	analys	717
965	analysemmicro	1
966	analysi	3161
967	analysiss	1
968	analyst	530
969	analyt	4037
970	analyth	1
971	analyz	2816
972	analyzi	1
973	anchor	6
974	ancillari	3
975	andako	1
976	andav	1
977	anderson	1
978	andimplement	1
979	andlov	2
980	andranik	2
981	android	166
982	anecdot	1
983	anelik	6
984	anesthesia	1
985	anesthesiolog	1
986	aneurysm	1
987	anf	2
988	angel	3
989	anger	1
990	angl	2
991	angola	2
992	angri	2
993	angular	26
994	angularj	49
995	ani	1488
996	anian	2
997	aniland	2
998	anim	183
999	anio	1
1000	aniplast	1
1001	anjularj	1
1002	ankakh	1
1003	anlis	1
1004	anlyst	1
1005	annex	14
1006	annihil	1
1007	anniversari	4
1008	annot	10
1009	announc	397
1010	annual	1376
1011	annul	3
1012	annum	3
1013	anod	1
1014	anomal	1
1015	anomali	15
1016	anonym	3
1017	anoth	167
1018	anounc	1
1019	anova	2
1020	anqa	1
1021	ansa	1
1022	ansi	31
1023	ansibl	1
1024	ansl	1
1025	answer	853
1026	ant	62
1027	antagonist	2
1028	antar	9
1029	antenat	3
1030	antenna	26
1031	anthrax	1
1032	anthropogen	7
1033	anthropolog	7
1034	anti	151
1035	anticip	166
1036	anticompetit	1
1037	anticorrupt	26
1038	antidiscrimin	1
1039	antiepidem	1
1040	antifir	1
1041	antimonopoli	1
1042	antipasti	1
1043	antismok	1
1044	antispam	3
1045	antispywar	1
1046	antivir	1
1047	antiviru	54
1048	antivirus	1
1049	anual	1
1050	anuy	1
1051	anxieti	1
1052	anyhow	2
1053	anyon	5
1054	anyth	9
1055	anywher	6
1056	aop	1
1057	aortic	1
1058	ap	6
1059	apac	2
1060	apach	219
1061	apahovagrakan	2
1062	aparan	13
1063	aparank	1
1064	apart	32
1065	apb	3
1066	apc	3
1067	apertur	1
1068	apg	1
1069	api	209
1070	apllianc	1
1071	aplomb	1
1072	apm	1
1073	apo	1
1074	app	105
1075	appach	2
1076	appar	1
1077	apparatu	2
1078	apparel	4
1079	appeal	71
1080	appear	228
1081	append	2
1082	appendic	8
1083	appendix	5
1084	appengin	1
1085	appetit	2
1086	appian	2
1087	appium	2
1088	appkit	1
1089	appl	30
1090	applet	4
1091	appli	1051
1092	applianc	36
1093	applic	4890
1094	applica	1
1095	applicatrion	2
1096	applier	1
1097	appoint	269
1098	apportion	2
1099	appos	1
1100	apposit	2
1101	apppart	1
1102	apprais	214
1103	appreci	132
1104	apprehend	1
1105	apprentic	13
1106	apprenticeship	4
1107	appris	1
1108	approach	1179
1109	approb	1
1110	appropr	1
1111	appropri	2339
1112	appropriat	1
1113	approv	966
1114	approx	6
1115	approxim	54
1116	apr	7
1117	apra	1
1118	apricot	3
1119	april	26
1120	apt	3
1121	aptitud	153
1122	aptv	1
1123	aquacultur	4
1124	aquat	1
1125	aquatek	5
1126	aquif	4
1127	ar	7
1128	ara	12
1129	arab	15
1130	arabia	1
1131	arabian	3
1132	arabkir	5
1133	arabl	1
1134	aragast	6
1135	aragat	1
1136	aragatsotn	20
1137	arajin	2
1138	arak	2
1139	aramian	1
1140	arang	1
1141	arantsk	1
1142	arar	1
1143	ararat	45
1144	aratour	1
1145	aray	10
1146	arbit	2
1147	arbitr	18
1148	arbitrag	2
1149	arbitrari	1
1150	arc	23
1151	arca	5
1152	arcgi	4
1153	archaeolog	3
1154	archaeologist	2
1155	archcad	1
1156	archhitect	1
1157	archi	5
1158	archicad	39
1159	architechtur	1
1160	architect	266
1161	architectdesign	1
1162	architectur	940
1163	archiv	246
1164	archivist	1
1165	arcmap	2
1166	arcserv	1
1167	arcview	5
1168	arcvu	1
1169	ard	21
1170	ardi	10
1171	ardshinbank	2
1172	ardshininvestbank	24
1173	area	2658
1174	aregak	36
1175	arel	1
1176	arena	6
1177	aresh	1
1178	arevadasht	2
1179	arevik	1
1180	arg	22
1181	argentinean	1
1182	argon	3
1183	argu	4
1184	argument	24
1185	arhi	1
1186	ari	3
1187	aris	136
1188	arisen	12
1189	arithmet	16
1190	ark	1
1191	arka	15
1192	arli	5
1193	arlington	3
1194	arm	112
1195	armat	1
1196	armatur	1
1197	armavir	35
1198	armeconombank	19
1199	armedia	2
1200	armemian	1
1201	armen	1
1202	armenbrok	1
1203	armenia	4062
1204	armeniainfo	1
1205	armeniainform	2
1206	armenian	9762
1207	armenianow	5
1208	armeniap	1
1209	armenin	1
1210	armenist	8
1211	armenpress	2
1212	armentel	85
1213	armenttel	2
1214	armex	5
1215	armi	10
1216	armimpexbank	6
1217	armix	1
1218	armmono	1
1219	armnenian	1
1220	armobil	3
1221	armsoft	173
1222	armsoftwar	28
1223	armstat	1
1224	armswissbank	7
1225	arnold	2
1226	aroghj	2
1227	around	134
1228	arous	2
1229	arpeg	1
1230	arplan	4
1231	arr	1
1232	arrang	1082
1233	array	30
1234	arrear	6
1235	arreng	1
1236	arrhythmolog	2
1237	arriv	94
1238	arrm	8
1239	arsemi	2
1240	arsoil	1
1241	arspiu	5
1242	art	246
1243	artash	1
1244	artashat	16
1245	artcam	1
1246	artcil	2
1247	artesian	1
1248	articl	266
1249	articul	89
1250	artifact	43
1251	artifici	9
1252	artik	3
1253	artisan	11
1254	artist	55
1255	artistri	1
1256	artlanti	1
1257	artsakh	5
1258	artsakhbank	1
1259	artsock	1
1260	artuch	1
1261	artwork	20
1262	arusyak	2
1263	arwest	3
1264	arzart	1
1265	arzni	2
1266	asa	9
1267	asap	1
1268	asatryan	4
1269	asba	2
1270	asbank	4
1271	asc	3
1272	ascertain	17
1273	asco	2
1274	ascp	3
1275	asdg	3
1276	ase	11
1277	asefp	1
1278	asf	1
1279	ashib	3
1280	ashkharh	1
1281	ashotsk	1
1282	ashtarak	15
1283	ashtray	3
1284	asi	1
1285	asia	44
1286	asian	43
1287	asic	7
1288	asif	3
1289	asign	1
1290	asiihttp	1
1291	asikuda	2
1292	asio	3
1293	asisst	1
1294	ask	93
1295	asl	5
1296	asm	9
1297	asnwer	1
1298	asoghik	3
1299	asp	616
1300	aspb	2
1301	aspect	920
1302	asphalt	4
1303	aspir	23
1304	aspn	1
1305	aspx	6
1306	asra	45
1307	ass	34
1308	assat	1
1309	assault	3
1310	assay	3
1311	assembl	184
1312	assent	1
1313	assert	67
1314	asses	4
1315	assess	1613
1316	assessor	2
1317	asset	1804
1318	assiast	1
1319	assign	3219
1320	assigne	2
1321	assimil	5
1322	assing	4
1323	assisgn	1
1324	assisitng	1
1325	assisst	1
1326	assist	4738
1327	assistant	1
1328	assistantship	1
1329	assistat	1
1330	assit	6
1331	associ	806
1332	assort	46
1333	asssist	1
1334	asssit	1
1335	assuar	1
1336	assum	182
1337	assumpt	16
1338	assur	1018
1339	assura	2
1340	ast	2
1341	astella	4
1342	asteria	3
1343	asterisk	11
1344	asti	1
1345	astm	3
1346	astp	4
1347	astro	1
1348	astut	2
1349	asu	1
1350	asya	1
1351	asylum	17
1352	asymmetr	2
1353	asynchron	29
1354	ata	2
1355	atc	3
1356	atcredit	1
1357	atda	3
1358	ate	13
1359	atenk	2
1360	atenyan	1
1361	atf	3
1362	atform	1
1363	atg	9
1364	athgo	3
1365	atip	2
1366	atl	30
1367	atla	26
1368	atlant	1
1369	atlanti	1
1370	atlassian	3
1371	atlp	1
1372	atm	63
1373	atmc	4
1374	atmel	2
1375	atmospher	62
1376	atom	3
1377	aton	17
1378	atp	15
1379	atpf	5
1380	atsru	5
1381	attach	102
1382	attack	9
1383	attain	70
1384	attask	79
1385	attempt	15
1386	attend	525
1387	attende	18
1388	attent	1400
1389	attest	6
1390	attir	3
1391	attitud	463
1392	attitudin	8
1393	attn	1
1394	attorney	78
1395	attrac	1
1396	attract	535
1397	attribut	48
1398	attun	1
1399	aua	37
1400	auac	1
1401	auction	10
1402	audi	1
1403	audibl	1
1404	audienc	192
1405	audio	104
1406	audiovisu	9
1407	audit	919
1408	audite	2
1409	auditor	326
1410	auditori	1
1411	auditorium	7
1412	audtior	1
1413	augment	7
1414	august	19
1415	auna	1
1416	aunt	1
1417	auspic	15
1418	australia	3
1419	australian	2
1420	austria	6
1421	austrian	23
1422	authent	63
1423	author	1171
1424	authoris	13
1425	authorit	1
1426	authorship	1
1427	autism	1
1428	auto	21
1429	autocad	195
1430	autochar	1
1431	autocorrel	1
1432	autodesk	6
1433	autodidact	3
1434	autom	909
1435	automat	69
1436	automatis	3
1437	automobil	9
1438	automot	16
1439	autonom	64
1440	autonomi	27
1441	autor	1
1442	autorout	3
1443	autoservic	1
1444	autumn	4
1445	auxiliari	21
1446	avagan	1
1447	avagani	2
1448	avail	1366
1449	availabil	2
1450	availbl	1
1451	avalanch	2
1452	avalondock	1
1453	avan	7
1454	avanc	4
1455	avangard	1
1456	avanta	2
1457	avata	3
1458	avatar	1
1459	avaya	6
1460	avc	3
1461	avegi	1
1462	aventi	2
1463	avenu	7
1464	averag	57
1465	averal	1
1466	avers	3
1467	aversi	14
1468	avfound	1
1469	aviacompani	1
1470	avian	6
1471	aviat	7
1472	avid	1
1473	avoid	62
1474	avr	2
1475	avrr	1
1476	avt	4
1477	avtocad	1
1478	aw	1
1479	await	2
1480	awar	1057
1481	award	166
1482	away	12
1483	awesom	2
1484	awk	7
1485	awl	1
1486	awp	30
1487	awpb	3
1488	awt	7
1489	axapta	5
1490	axe	1
1491	axi	40
1492	axic	1
1493	axl	1
1494	axonometri	1
1495	axur	6
1496	ayb	8
1497	aygavan	1
1498	aygut	1
1499	ayla	2
1500	ayvazyan	1
1501	azad	4
1502	azatan	1
1503	azerbaijan	32
1504	azerbaijani	7
1505	azeri	2
1506	azur	5
1507	b	463
1508	ba	3
1509	babi	13
1510	babysitt	6
1511	bac	1
1512	baccalaur	6
1513	bacelor	1
1514	bachelor	1769
1515	back	392
1516	backbon	26
1517	backbonej	3
1518	backend	95
1519	backfil	1
1520	backgourd	1
1521	background	1085
1522	backhaul	4
1523	backho	1
1524	backlog	11
1525	backoffic	5
1526	backplan	1
1527	backstop	36
1528	backup	305
1529	backupexec	1
1530	backward	1
1531	backyard	3
1532	bacon	1
1533	bacteriolog	5
1534	bacula	1
1535	bad	15
1536	bada	3
1537	badalyan	3
1538	badg	13
1539	baest	1
1540	bag	36
1541	bagaratashen	1
1542	baggag	4
1543	baghdasaryan	1
1544	baghramyan	1
1545	bagratashen	8
1546	bailiff	3
1547	baird	1
1548	bake	9
1549	baker	4
1550	bakeri	6
1551	bakhshik	2
1552	bakss	1
1553	baku	30
1554	bal	1
1555	balanc	483
1556	balconi	3
1557	baldi	33
1558	baldinini	1
1559	ball	2
1560	ballot	4
1561	balsam	1
1562	balsamiq	4
1563	baltic	1
1564	baltimor	1
1565	band	11
1566	bandwidth	5
1567	bangkok	1
1568	bangladesh	1
1569	bank	2991
1570	bankabl	1
1571	bankakademi	1
1572	banker	24
1573	bankmail	8
1574	banknot	28
1575	bankonl	1
1576	bankruptci	18
1577	banner	104
1578	banqu	1
1579	banquet	23
1580	banquett	1
1581	bap	1
1582	bar	47
1583	barcod	2
1584	bare	7
1585	barent	4
1586	barg	1
1587	bargain	6
1588	barista	1
1589	barman	7
1590	barmen	1
1591	baromet	1
1592	barrier	37
1593	barrist	2
1594	barsam	1
1595	barsi	4
1596	bartend	5
1597	base	3207
1598	basecamp	1
1599	basel	10
1600	baselin	81
1601	basement	2
1602	bash	60
1603	basi	1137
1604	basic	2006
1605	basin	41
1606	basket	2
1607	basketbal	1
1608	bass	3
1609	bat	20
1610	batch	17
1611	bath	1
1612	bathroom	1
1613	batteri	24
1614	battl	1
1615	batumi	3
1616	bav	1
1617	bavra	7
1618	bayer	4
1619	bayesian	4
1620	bazillion	1
1621	bba	1
1622	bbc	5
1623	bbp	1
1624	bca	1
1625	bcc	2
1626	bcg	1
1627	bcp	9
1628	bcpr	1
1629	bctylec	1
1630	bd	11
1631	bdic	1
1632	bdm	2
1633	bdref	1
1634	bea	5
1635	bean	5
1636	bear	48
1637	bearer	5
1638	bearingpoint	1
1639	beau	2
1640	beauti	19
1641	beautifi	3
1642	becaus	8
1643	becd	1
1644	becom	243
1645	bed	4
1646	bee	1
1647	beelin	5
1648	beer	1
1649	befor	310
1650	begin	94
1651	beginn	11
1652	behalf	169
1653	behav	9
1654	behavior	353
1655	behaviour	48
1656	behind	19
1657	beinteract	2
1658	beirut	1
1659	beit	1
1660	belaru	2
1661	belaz	2
1662	belgium	12
1663	belief	17
1664	believ	13
1665	bell	3
1666	bellboy	3
1667	bellcaptain	2
1668	bellhop	3
1669	bellman	2
1670	bellow	2
1671	bellperson	2
1672	belong	16
1673	belt	8
1674	bem	1
1675	ben	2
1676	bench	9
1677	benchmark	119
1678	bend	11
1679	bender	1
1680	benefactor	4
1681	benefici	111
1682	beneficiari	285
1683	beneficiariy	2
1684	benefit	324
1685	benefiti	1
1686	benerik	2
1687	benetton	1
1688	benevol	3
1689	benficiari	1
1690	benz	3
1691	beo	1
1692	berd	2
1693	berg	2
1694	berlin	4
1695	berlitz	3
1696	berri	2
1697	beschaffung	2
1698	besid	5
1699	bespok	1
1700	best	1107
1701	bestsel	3
1702	bet	6
1703	beta	7
1704	betarchitect	52
1705	betconstruct	5
1706	bethesda	2
1707	better	108
1708	beverag	113
1709	beyond	30
1710	bfc	16
1711	bfm	2
1712	bgp	21
1713	bgr	1
1714	bgw	2
1715	bh	5
